time: 0	 sensorID: 1
time: 0	 sensorID: 2
time: 0	 sensorID: 3
time: 0	 sensorID: 4
time: 0	 sensorID: 5
time: 0	 sensorID: 6
time: 0	 sensorID: 7
time: 0	 sensorID: 8
time: 0	 sensorID: 9
time: 0	 sensorID: 10
time: 0	 sensorID: 11
time: 0	 sensorID: 12
time: 0	 sensorID: 13
time: 0	 sensorID: 14
time: 0	 sensorID: 15
time: 0	 sensorID: 16
time: 0	 sensorID: 17
time: 0	 sensorID: 18
time: 0	 sensorID: 19
time: 0	 sensorID: 20
time: 0	 sensorID: 21
time: 0	 sensorID: 22
time: 0	 sensorID: 23
time: 0	 sensorID: 24
time: 0	 sensorID: 25
time: 0	 sensorID: 26
time: 0	 sensorID: 27
time: 0	 sensorID: 28
time: 0	 sensorID: 29
time: 0	 sensorID: 30
time: 0	 sensorID: 31
time: 0	 sensorID: 32
time: 0	 sensorID: 33
time: 0	 sensorID: 34
time: 0	 sensorID: 35
time: 0	 sensorID: 36
time: 0	 sensorID: 37
time: 0	 sensorID: 38
time: 0	 sensorID: 39
time: 0	 sensorID: 40
time: 0	 sensorID: 41
time: 0	 sensorID: 42
time: 0	 sensorID: 43
time: 0	 sensorID: 44
time: 0	 sensorID: 45
time: 0	 sensorID: 46
time: 0	 sensorID: 47
time: 0	 sensorID: 48
time: 0	 sensorID: 49
time: 0	 sensorID: 50
time: 0	 sensorID: 51
time: 0	 sensorID: 17	 sendTo: 27
time: 0	 sensorID: 19	 sendTo: 22
time: 0	 sensorID: 26	 sendTo: 14
time: 0	 sensorID: 31	 sendTo: 27
time: 0	 sensorID: 33	 sendTo: 29
time: 0	 sensorID: 44	 sendTo: 19
time: 1	 sensorID: 4	 sendTo: 24
time: 1	 sensorID: 11	 sendTo: 33
time: 1	 sensorID: 20	 sendTo: 3
time: 1	 sensorID: 24	 sendTo: 1
time: 1	 sensorID: 34	 sendTo: 5
time: 1	 sensorID: 35	 sendTo: 5
time: 1	 sensorID: 43	 sendTo: 29
time: 1	 sensorID: 48	 sendTo: 15
time: 1	 sensorID: 51	 sendTo: 47
time: 1	 sensorID: 50	 sendTo: 30
time: 1	 sensorID: 44	 sendTo: 20
time: 1	 sensorID: 46	 sendTo: 16
time: 1	 sensorID: 47	 sendTo: 50
time: 1	 sensorID: 42	 sendTo: 15
time: 1	 sensorID: 40	 sendTo: 25
time: 1	 sensorID: 43	 sendTo: 8
time: 1	 sensorID: 36	 sendTo: 15
time: 1	 sensorID: 38	 sendTo: 35
time: 1	 sensorID: 39	 sendTo: 44
time: 1	 sensorID: 32	 sendTo: 49
time: 1	 sensorID: 34	 sendTo: 46
time: 1	 sensorID: 35	 sendTo: 40
time: 1	 sensorID: 28	 sendTo: 8
time: 1	 sensorID: 30	 sendTo: 22
time: 1	 sensorID: 31	 sendTo: 31
time: 1	 sensorID: 24	 sendTo: 1
time: 1	 sensorID: 26	 sendTo: 15
time: 1	 sensorID: 27	 sendTo: 24
time: 1	 sensorID: 20	 sendTo: 6
time: 1	 sensorID: 22	 sendTo: 26
time: 1	 sensorID: 23	 sendTo: 16
time: 1	 sensorID: 16	 sendTo: 45
time: 1	 sensorID: 18	 sendTo: 26
time: 1	 sensorID: 49	 sendTo: 28
time: 1	 sensorID: 19	 sendTo: 33
time: 1	 sensorID: 45	 sendTo: 34
time: 1	 sensorID: 15	 sendTo: 22
time: 1	 sensorID: 12	 sendTo: 50
time: 1	 sensorID: 11	 sendTo: 14
time: 1	 sensorID: 14	 sendTo: 27
time: 1	 sensorID: 8	 sendTo: 40
time: 1	 sensorID: 7	 sendTo: 42
time: 1	 sensorID: 10	 sendTo: 18
time: 1	 sensorID: 4	 sendTo: 3
time: 1	 sensorID: 41	 sendTo: 27
time: 1	 sensorID: 6	 sendTo: 14
time: 1	 sensorID: 3	 sendTo: 32
time: 1	 sensorID: 2	 sendTo: 11
time: 1	 sensorID: 37	 sendTo: 23
time: 1	 sensorID: 33	 sendTo: 1
time: 1	 sensorID: 29	 sendTo: 7
time: 1	 sensorID: 25	 sendTo: 10
time: 1	 sensorID: 21	 sendTo: 16
time: 1	 sensorID: 17	 sendTo: 5
time: 1	 sensorID: 13	 sendTo: 37
time: 1	 sensorID: 9	 sendTo: 4
time: 1	 sensorID: 5	 sendTo: 48
time: 1	 sensorID: 1	 sendTo: 35
time: 2	 sensorID: 2	 sendTo: 35
time: 2	 sensorID: 11	 sendTo: 29
time: 2	 sensorID: 27	 sendTo: 8
time: 2	 sensorID: 33	 sendTo: 46
time: 2	 sensorID: 41	 sendTo: 49
time: 3	 sensorID: 2	 sendTo: 10
time: 3	 sensorID: 3	 sendTo: 36
time: 3	 sensorID: 7	 sendTo: 36
time: 3	 sensorID: 10	 sendTo: 34
time: 3	 sensorID: 22	 sendTo: 25
time: 3	 sensorID: 50	 sendTo: 3
time: 4	 sensorID: 11	 sendTo: 6
